overlap_group,owner_key,alias_key,overlap_start_hex,overlap_end_exclusive_hex,overlap_bytes,relationship,structural_status,note
storage-overlap-01,MAIN:0x034D08,MAIN:0x034D3A,0x034D3A,0x034D4B,17,alias_is_exact_suffix_of_owner,declared_source_storage_fact,The short payload already aliases the suffix of the long payload in the 2015 English ROM; future edits must relocate them or preserve compatible bytes.
storage-overlap-02,MAIN:0x03A9EA,MAIN:0x03A9F7,0x03A9F7,0x03A9FB,4,alias_is_exact_suffix_of_owner,declared_source_storage_fact,The short payload already aliases the suffix of the long payload in the 2015 English ROM; future edits must relocate them or preserve compatible bytes.
storage-overlap-03,MAIN:0x03ABAC,MAIN:0x03ABCB,0x03ABCB,0x03ABDB,16,alias_is_exact_suffix_of_owner,declared_source_storage_fact,The short payload already aliases the suffix of the long payload in the 2015 English ROM; future edits must relocate them or preserve compatible bytes.
